# 颜文字面板的排布：分类\t颜文字
# 由 render-panel.py 从 kaomoji-collection 挑出来（MIT，见同目录 LICENSE），别手改
# group: 开心
抱抱	(*,,•ω(ω&lt;,,✱)
抱抱	( ⸝⸝˃̶͈))`дﾟ*)♡
抱抱	(っ*˘ω˘ )˘ω˘* c)
抱抱	⊂(˃̶͈̀ε ˂̶͈́ ⊂ )
# group: 眨眼
眨眼	(^_-)
眨眼	(-_^)
眨眼	(•ω-)
眨眼	(＾▽゜）
眨眼	(｡･ω-)
眨眼	( •◡-)
眨眼	(•_ &lt;)
眨眼	(ゝω･)v
眨眼	d(-_^)
眨眼	(^_-)b
眨眼	(｡•ω-｡)
眨眼	(๑•ω-๑)
眨眼	(๑•̀ᴗ-)
眨眼	(っ➜U◔)っ
眨眼	(ﾉ･_-)☆
眨眼	(・o &lt; )
眨眼	(｡￫‿◕｡)
眨眼	(｡•̀ᴗ-)✧
眨眼	꒰ᐢ∩_&lt;ᐢ)︎ ◝✩
眨眼	⊂( ᐡ- ·̫ •ᐡ )⊃❣️
眨眼	ಠ‿↼
眨眼	ᯓᡣ𐭩
眨眼	⌯ oᴗ&lt;⌯
眨眼	(☆&gt;◡❛)
眨眼	ʕ -ᴥ•ʔ♡
眨眼	(｡•ㅅ-｡)
眨眼	٩(˃ᴗ❛๑)و
眨眼	(⁎•꒶̮-⁎)
眨眼	(◍⁃͈ᴗ•͈)
眨眼	꒰｡•ॢ◡-ॢ｡꒱
眨眼	o( •ω- )⸝
眨眼	(★≧∇^))/☆
眨眼	٩(๑•ε-๑)۶
眨眼	v(°∇^*)⌒☆
眨眼	૮ • ﻌ – ა✧
眨眼	＼(◕ x &lt; )／
眨眼	ヾ(๑╹ꇴ◠๑)ﾉ&quot;
眨眼	\\(◕ ᴗ ＜)/
眨眼	ദ്ദി( ˙꒳¯ )
眨眼	૮₍˶ •. -⑅₎ა♡
# group: 哭
哭	(つд⊂)ｴｰﾝ
哭	( ;ᯅ; )ｴｰﾝ
哭	（ ´Д⊂ヽエーーン
哭	(((((*ﾉДﾉ)えーん
哭	(´｡つД⊂ﾟ｡｀)ぇんぇん
哭	･ﾟﾟ(p&gt;д&lt;q)ﾟﾟ･えーん
哭	えぇーん ｡ﾟﾟ(´□`｡)°ﾟ｡
哭	˚‧º·(˚&gt;ᯅ&lt;)‧º·˚ｴｰﾝ
哭	｡･ﾟ(ﾟ⊃ω⊂ﾟ)ﾟ･｡ｴｰﾝｴｰﾝ
哭	(´-ω-`)ゔ…
哭	|ω;`)ｳｯ..
哭	(っ◞‸◟c)ｳｰ
哭	(￣^￣゜)ｸﾞｽﾝ
哭	(´⌒`｡)ｸﾞｽﾝ
哭	(´∩｀。)ｸﾞｽﾝ
哭	(߹𖥦߹)ｸﾞｽﾝ
哭	o(´^｀)o ｳｰ
哭	( ´^`° )ウｳ
哭	(´；ω；`)ｳｯ…
哭	Σ( °-° )ｳｯ
哭	(；´Д｀)ｳｳｯ…
哭	(ノд・。) ｸﾞｽﾝ
哭	(っω&lt;｡)…ｸﾞｽﾝ
哭	(｡&#x27;•ωก…ｸﾞｽﾝ
哭	(๑っ﹏•。๑)ｸﾞｽ
哭	(ﾉд･｡) ｸﾞｽﾝ
哭	( *¯ ^¯*)うー
哭	(｡&gt;_&lt;｡)ｳ-💦
哭	(´;ω;` )ｳｯ…
哭	(*´・ω・｀*)ｸﾞｽﾝ
哭	(´•ω•̥`)…ｸﾞｽﾝ
哭	(｡•́ωก̀｡)…ｸﾞｽﾝ
哭	(｡•́_ก̀｡)…ｸﾞｽﾝ
哭	.°(´σ⌓•｡)°.ｸﾞｽﾝ
哭	ｸﾞｽﾝ( ˃○˂ഃ )°・。
哭	(´･ε･̥ˋ๑)ｸﾞｽ...
哭	(⑉･̆-･̆⑉)うぅぅ･･･
哭	(͒ ฅ;꒫;ฅ )͒ｸﾞｽﾞｯ
哭	(｡•́ - •̀｡)ｳｯｳｯ……
哭	(｡o̴̶̷̥᷅ωก̀｡)ｸﾞﾁｭﾝ
# group: 难过
难过	&gt;&lt;
难过	:(-
难过	:-&lt;
难过	:&#x27;(
难过	):-
难过	:-c
难过	(&gt;_&lt;)
难过	(´△｀)
难过	(╥﹏╥)
难过	(ಥ﹏ಥ)
难过	(;-;)
难过	(-_-)
难过	(T_T)
难过	(ToT)
难过	(´д｀;)
难过	(_ _。)
难过	(&gt;︿&lt;｡)
难过	&amp;.(..)
难过	(´･ω･`)
难过	(´-ω-`)
难过	ಠ_ಥ
难过	ύ.ὺ
难过	ºωº
难过	(-言-)
难过	(ノω･、)
难过	( p_q)
难过	(つ﹏&lt;。)
难过	(´๐_๐)
难过	(ﾉω･､`)
难过	┐(´д`)┌
难过	╮(￣_￣)╭
难过	( p′︵‵。)
难过	{{p´Д｀q}}
难过	…⁝(&#x27;ᾥ&#x27; )⁝
难过	凸(´･ω･`)凸
难过	¯\_(ツ)_/¯
难过	ﾟ(ﾟ`ω´ ﾟ)ﾟ
难过	(´;Д;`)ｴｰﾝ
难过	｡°(°´ᯅ`°)°｡
难过	｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡
# group: 生气
生气	(╬◣д◢)
生气	(#°Д°)
生气	(ʘ言ʘ╬)
生气	(怒｀Д´怒)
生气	ꐦ(≖̀д̿≖́)
生气	(ꐦ ‾᷄꒫‾᷅ )
生气	( ꒪҇൧̑ ꒪҄ꐦ)
生气	( ꐦ ･᷅ὢ･᷄ )
生气	( º言º)
生气	（#＝ω＝）
生气	(°ㅂ°҂)
生气	（｀m´＃）
生气	(°ㅂ°ꐦ)
生气	(# ﾟДﾟ)
生气	(ꐦ°᷄д°᷅)
生气	( ꐦ◜ω◝ )
生气	ヽ(｀Д´#)ﾉ
生气	(ꐦ`•ω•´)
生气	ʕ⌒ʔ″ﾌﾟｲｯ
生气	(ﾟДﾟ)ｳｻﾞｲ
生气	(´^｀*)ﾌﾟｲ
生气	(-ᴥ-´ )ぷい
生气	(　´Α｀)ｳｾﾞｰ
生气	(´^｀*)ﾌﾟｲｯ
生气	(･ω･｀)彡ﾌﾟｨ
生气	(ﾟДﾟ)ｳｾﾞｪｪｪ
生气	((´∀｀*))うざっ
生气	ｳｻﾞ(ﾟДﾟ)ｯ!!
生气	うぜえ(﹡ˆ﹀ˆ﹡)♡
生气	ｳｻﾞ( ´ﾟ౪ﾟ｀)
生气	(-ω-´ )ﾌﾟｲｯ
生气	(*˘^˘*,,)ぷいｳ
生气	(｡`-ω-´｡)ﾌﾟｲｯ
生气	(*˘^˘*,,)ぷいっ♡
生气	(￣^￣゜))彡 ぷぃっ!!
生气	ｳｻﾞ━━━ヽ(ﾟДﾟ)ﾉ━━━ｳｻﾞ
生气	(☝ ՞ਊ ՞)＝☞)՞ਊ ՞)ｳｾﾞｰ
生气	(💢&#x27;ω&#x27;)
生气	(-_-💢)
生气	( ¨̮ 💢)
# group: 害怕
害怕	Σ(;ﾟ;
害怕	(ﾟÅﾟ;)
